tract,Name,State,NY,Household_Income_rP_gP_p25
36059303301,Williston Park, NY,,73716
36059415500,North Wantagh, Seaford, NY,69612
36059406400,Garden City, NY,,68934
36059412700,Rockville Centre, NY,,67566
36059302700,North New Hyde Park, NY,,66943
36059405800,Garden City, NY,,66319
36103146704,West Islip, NY,,66252
36059406501,Garden City, NY,,66241
36059415102,Merrick, NY,,65733
36059519703,Plainview, NY,,65727
36059415201,Merrick, NY,,63881
36059518800,Syosset, NY,,63877
36059415202,Merrick, NY,,63712
36059404600,Floral Park, NY,,63488
36059303101,New Hyde Park, NY,,63254
36059404700,New Hyde Park, NY,,63176
36059415802,Wantagh, NY,,62655
36059302101,Roslyn, NY,,62052
36059300600,Great Neck Plaza, NY,,61861
36059518204,Woodbury, NY,,61470
36059520700,Massapequa, NY,,61375
36059518600,Jericho, NY,,61310
36059519801,Plainview, NY,,60341
36059412500,Rockville Centre, NY,,60309
36059521200,Massapequa, NY,,60175
36059303000,New Hyde Park, NY,,60053
36059302800,North New Hyde Park, NY,,59416
36059411902,Lynbrook, NY,,58607
36059416000,Seaford, NY,,58540
36059412600,Rockville Centre, NY,,58195
36059302400,Albertson, NY,,58177
36059302300,Albertson, NY,,58165
36059521802,Massapequa Park, NY,,58022
36059405301,Franklin Square, NY,,57969
36059405500,Franklin Square, NY,,57841
36059404500,Floral Park, NY,,57710
36059413002,Oceanside, NY,,57650
36059519500,Hicksville, Hicksville, NY,57607
36059521500,Massapequa Park, NY,,57435
36059517500,Glen Head, NY,,57427
36059414700,Merrick, NY,,57357
36103146901,West Islip, NY,,57276
36059408400,Merrick, NY,,57188
36059517000,Glen Cove, NY,,56951
36059518501,Jericho, NY,,56893
36059301700,Manhasset, NY,,56761
36059410600,Valley Stream, NY,,56721
36059519601,Plainview, NY,,56618
36059521302,Massapequa, NY,,56535
36059408600,Levittown, NY,,56510
36059519802,Plainview, NY,,56458
36059415700,Wantagh, NY,,56317
36059519400,Hicksville, Hicksville, NY,56055
36059517701,Glen Head, NY,,55986
36059520002,Bethpage, NY,,55904
36059303800,Carle Place, NY,,55750
36059302501,Roslyn Heights, NY,,55703
36059406300,Garden City, NY,,55665
36059415101,Merrick, NY,,55209
36059517600,Glen Head, NY,,55136
36059411901,Lynbrook, NY,,55074
36059416402,Long Beach, NY,,55013
36059518100,East Norwich, NY,,54977
36059521301,Massapequa, NY,,54905
36059301900,Manhasset, NY,,54885
36059410200,Malverne, NY,,54848
36059408000,East Meadow, NY,,54694
36059520001,Bethpage, NY,,54549
36059303700,Mineola, NY,,54522
36059415600,Wantagh, NY,,54422
36103146800,West Islip, NY,,54354
36103146705,West Islip, NY,,54242
36059416100,Seaford, NY,,54057
36103146902,West Islip, NY,,53854
36059519000,Hicksville, Levittown, NY,53767
36059520100,Old Bethpage, NY,,53753
36059517901,Bayville, NY,,53739
36059300900,Manhasset, NY,,53701
36059416201,Island Park, NY,,53568
36059301600,Manhasset, NY,,53553
36059301102,Port Washington, NY,,53517
36059518201,Oyster Bay, NY,,53429
36059519200,Hicksville, Hicksville, NY,53201
36059518203,Woodbury, NY,,53087
36059405302,Franklin Square, NY,,52931
36059405400,Elmont, NY,,52918
36059517400,Sea Cliff, NY,,52912
36059410100,Malverne, NY,,52902
36059304001,Westbury, NY,,52837
36059411700,Hewlett, NY,,52807
36059519704,Plainview, NY,,52807
36059409700,North Wantagh, Wantagh, NY,52777
36059408200,East Meadow, NY,,52774
36059416801,Long Beach, NY,,52587
36059411200,Cedarhurst, NY,,52516
36059520501,South Farmingdale, NY,,52492
36059303202,Garden City Park, NY,,52445
36059409200,Levittown, NY,,52441
36059300300,Great Neck, NY,,52378
36059303302,Williston Park, NY,,52317
36059408900,Levittown, NY,,52204
36059303500,Mineola, NY,,52199
36059413400,Oceanside, NY,,52051
36059414600,North Merrick, NY,,52031
36059518700,Syosset, NY,,52007
36059302102,Roslyn Heights, NY,,51998
36059413200,Oceanside, NY,,51974
36059407801,Westbury, NY,,51774
36059522700,Seaford, NY,,51654
36059301200,Port Washington, NY,,51442
36059406001,West Hempstead, NY,,51400
36059405700,Franklin Square, NY,,51364
36059410000,Valley Stream, NY,,51341
36059518300,Syosset, NY,,51331
36059409300,Levittown, NY,,51138
36059413803,Baldwin, NY,,51074
36059519100,Hicksville, Hicksville, NY,51052
36059407600,Westbury, NY,,50867
36059412200,East Rockaway, NY,,50755
36059300400,Great Neck, NY,,50606
36059521602,Massapequa Park, NY,,50606
36059406100,West Hempstead, NY,,50485
36059518502,Jericho, NY,,50477
36059415000,Merrick, NY,,50345
36059410700,Valley Stream, NY,,49996
36059302900,North New Hyde Park, NY,,49979
36059408100,East Meadow, NY,,49969
36059407700,Westbury, NY,,49808
36059521601,Massapequa Park, NY,,49754
36059411302,Woodmere Park, Woodmere, NY,49747
36059520600,Farmingdale, NY,,49415
36103146706,West Islip, NY,,49342
36059405600,Franklin Square, NY,,49342
36059300800,Great Neck, NY,,49333
36059519702,Plainview, NY,,49329
36059520800,North Massapequa, NY,,49261
36059517102,Glen Cove, NY,,49120
36059521902,Massapequa, NY,,49053
36059408300,East Meadow, NY,,49005
36059406002,West Hempstead, NY,,48945
36059416300,Atlantic Beach, NY,,48874
36059519900,Bethpage, NY,,48850
36059518400,Syosset, NY,,48845
36059405900,West Hempstead, NY,,48836
36059415401,Bellmore, NY,,48836
36059520200,Bethpage, NY,,48799
36059303102,New Hyde Park, NY,,48727
36059408800,Levittown, NY,,48649
36059519602,Plainview, NY,,48555
36059413100,Oceanside, NY,,48537
36059411800,Lynbrook, NY,,48415
36059410800,Valley Stream, NY,,48179
36059414800,North Bellmore, NY,,48150
36059521801,Massapequa, NY,,48130
36059409100,Levittown, NY,,47926
36059409000,Levittown, NY,,47796
36059415402,Bellmore, NY,,47604
36059521400,Massapequa, NY,,47501
36059404400,Floral Park, NY,,47299
36059517302,Glen Cove, NY,,47285
36059520300,Bethpage, NY,,47266
36059520900,Massapequa, NY,,47266
36059302600,Floral Park, NY,,47144
36059302000,Roslyn, NY,,47132
36059408500,North Bellmore, NY,,47083
36059301400,Port Washington, NY,,46952
36059413600,Baldwin, NY,,46848
36059409500,Levittown, NY,,46829
36059520502,South Farmingdale, NY,,46761
36059416701,Long Beach, NY,,46657
36059409600,North Wantagh, Wantagh, NY,46467
36059517705,Glen Head, NY,,46314
36059301101,Port Washington, NY,,46058
36059517801,Locust Valley, NY,,46026
36059412000,Lynbrook, NY,,45999
36059410900,Valley Stream, NY,,45976
36059410500,Valley Stream, NY,,45857
36059411400,Woodmere, NY,,45841
36059413001,Oceanside, NY,,45633
36059411600,Lawrence, NY,,45559
36059304002,Westbury, NY,,45420
36059521000,North Massapequa, NY,,45157
36059411301,Valley Stream, NY,,45140
36059409400,Wantagh, NY,,45138
36059520402,Farmingdale, NY,,45114
36059413300,Oceanside, NY,,44935
36059520401,Farmingdale, NY,,44772
36059302200,Roslyn Heights, NY,,44361
36059412100,East Rockaway, NY,,44222
36059518000,Oyster Bay, NY,,43887
36059521700,Massapequa Park, NY,,43838
36059303600,Mineola, NY,,43804
36059413804,Baldwin, NY,,43687
36059300500,Great Neck, NY,,43664
36059303201,Garden City Park, NY,,43598
36059517802,Locust Valley, NY,,43489
36059412800,South Hempstead, NY,,42958
36059410400,Valley Stream, NY,,42849
36059413700,Baldwin, NY,,42767
36103147001,West Islip, NY,,42753
36059405200,Elmont, NY,,42735
36103122300,Farmingdale, NY,,42384
36059410300,Valley Stream, NY,,42324
36059409900,Valley Stream, NY,,42186
36059416202,Island Park, NY,,41982
36059517301,Glen Cove, NY,,41759
36059415300,Bellmore, NY,,41726
36059416802,Long Beach, NY,,41190
36119002204,Lawrence Park, Yonkers, NY,41079
36059518900,Hicksville, Hicksville, NY,41067
36059521100,Massapequa, NY,,40898
36059414900,North Bellmore, NY,,40883
36059408700,Levittown, NY,,40637
36059416600,Long Beach, NY,,40587
36059414502,Freeport, NY,,40255
36059411000,Inwood, NY,,40160
36059519300,Hicksville, Hicksville, NY,39761
36059405000,Elmont, NY,,39665
36059409800,Elmont, NY,,39636
36059412301,Rockville Centre, NY,,39620
36059301800,Manhasset, NY,,39386
36059407900,East Meadow, NY,,39336
36059413500,Baldwin, NY,,39183
36059300700,Great Neck Plaza, NY,,39029
36059517902,Bayville, NY,,38529
36059414501,Freeport, NY,,38292
36059416702,Long Beach, NY,,38159
36059406201,West Hempstead, NY,,38147
36059416401,Long Beach, NY,,38106
36061030700,Inwood, New York, NY,37739
36059414301,Freeport, NY,,37481
36059405100,Elmont, NY,,37309
36059304202,Westbury, NY,,36664
36059404901,Elmont, NY,,36468
36059407302,Uniondale, NY,,36394
36119002401,Lawrence Park, Yonkers, NY,36194
36059407401,Uniondale, NY,,36030
36059412302,Rockville Centre, NY,,35971
36059414303,Freeport, NY,,35969
36059301300,Port Washington, NY,,35925
36059412400,Rockville Centre, NY,,35883
36059304100,Westbury, NY,,35845
36059404800,South Floral Park, NY,,35227
36059414304,Freeport, NY,,34978
36061030300,Inwood, New York, NY,34832
36059303900,Westbury, NY,,34674
36059404902,Elmont, NY,,34395
36059522000,Massapequa, NY,,34238
36059517101,Glen Cove, NY,,33966
36059412900,Baldwin, NY,,33760
36059407802,East Meadow, NY,,33570
36059407102,Hempstead, NY,,33123
36061029500,Inwood, New York, NY,32801
36059414201,Freeport, NY,,31721
36061029100,Inwood, New York, NY,31631
36059411100,Inwood, NY,,31620
36061029900,Inwood, New York, NY,31265
36059406801,Hempstead, NY,,31051
36059407402,Uniondale, NY,,30944
36059407203,Hempstead, NY,,30881
36059407204,Hempstead, NY,,30829
36059407501,Uniondale, NY,,30814
36059304204,Westbury, NY,,30321
36059414100,Freeport, NY,,30282
36059517200,Glen Cove, NY,,30085
36059416500,Long Beach, NY,,30061
36059304203,Westbury, NY,,29937
36103123201,Farmingdale, NY,,29601
36059407201,Hempstead, NY,,29558
36059406701,Hempstead, NY,,29373
36059406802,Hempstead, NY,,28982
36059407101,Hempstead, NY,,28938
36059411500,Hewlett, NY,,28825
36059414202,Freeport, NY,,28723
36059406202,West Hempstead, NY,,28650
36059407502,Uniondale, NY,,28152
36059414002,Roosevelt, NY,,27217
36059414400,Freeport, NY,,26921
36059407301,Uniondale, NY,,26487
36059413900,Roosevelt, NY,,26091
36059302502,Old Westbury, NY,,26038
36059406900,Hempstead, NY,,25505
36059406702,Hempstead, NY,,25129
36059414001,Roosevelt, NY,,25100
36059407000,Hempstead, NY,,24943
36059982100,Old Westbury, NY,,
36061029700,Inwood, New York, NY,
36059981100,Greenvale, NY,,